1,4
2,12
3,4
4,4
5,9
6,14
7,2
8,4
9,11
10,6
11,17
12,16
13,34
14,3
15,2
16,14
17,1
18,6
19,5
20,4
21,4
22,4
23,2
24,5
25,2
26,27
27,9
28,1
29,5
30,22
31,10
32,3
33,6
34,8
35,5
36,6
37,3
38,1
39,6
40,8
41,7
42,38
43,4
44,6
45,25
46,34
47,2
48,12
49,32
50,1
51,10
52,2
53,4
54,24
55,9
56,5
57,1
58,6
59,4
60,9
61,9
62,1
63,9
64,3
65,6
66,10
67,10
68,7
69,4
70,6
71,4
72,3
73,5
74,4
75,7
76,5
77,7
78,10
79,4
80,7
81,4
82,1
83,3
84,25
85,6
86,8
87,4
88,6
89,1
90,4
91,5
92,9
93,4
94,1
95,8
96,4
97,9
98,3
99,8
100,1
101,8
102,12
103,4
104,6
105,5
106,16
107,4
108,6
109,2
110,6
111,20
112,4
113,2
114,1
115,1
116,3
117,1
118,19
119,6
120,7
121,9
122,1
123,2
124,46
125,8
126,3
127,2
128,10
129,19
130,2
131,2
132,14
132,12
133,2
134,4
135,11
136,54
137,5
138,3
139,6
140,6
141,7
142,8
143,2
144,13
145,4
146,1
147,21
148,3
149,25
150,2
151,3
151,7
152,1
153,4
154,12
155,3
156,2
157,6
158,13
159,2
160,4
161,34
162,7
163,2
164,13
165,2
166,2
167,3
168,4
169,3
170,2
171,9
172,4
173,1
174,2
175,1
176,6
177,1
178,2
179,14
180,3
181,9
182,4
183,2
184,2
185,14
186,5
187,14
188,14
189,3
190,2
191,1
192,5
193,5
194,3
195,10
196,5
197,7
198,2
199,33
200,3
201,17
202,4
203,5
204,7
205,2
206,5
207,4
208,6
209,4
210,2
211,2
212,2
213,2
214,12
215,7
216,3
217,7
218,1
219,1
220,6
221,1
222,1
223,5
224,7
225,4
226,2
227,3
228,6
229,13
230,5
231,5
232,4
233,3
234,3
235,13
236,2
237,8
239,3
240,7
241,19
242,2
243,5
244,3
245,1
246,2
247,8
248,1
249,2
250,4
251,1
252,3
253,1
254,6
255,5
256,3
257,1
258,5
259,1
260,9
261,4
262,6
263,3
264,10
265,3
266,1
267,9
268,2
269,5
270,3
271,1
272,4
273,2
274,1
275,1
276,2
277,1
278,6
279,2
280,2
281,3
282,5
283,2
284,41
285,7
286,3
287,1
288,2
289,5
290,9
291,3
292,3
293,2
294,3
295,1
296,1
297,4
298,12
299,7
300,7
301,15
302,2
303,2
304,3
305,17
306,0
307,0
308,9
309,5
310,1
311,19
312,5
313,1
314,1
315,13
315,8
316,6
317,3
318,2
319,1
320,8
321,23
322,0
323,5
324,8
325,4
326,5
327,1
328,4
329,3
330,1
331,2
332,6
332,3
333,7
334,27
335,7
336,3
337,8
338,3
339,2
340,3
341,9
342,4
343,5
344,9
345,11
346,7
347,19
348,3
349,7
350,6
351,5
352,5
353,7
354,4
355,4
355,3
356,13
357,5
358,21
359,9
360,9
361,1
362,9
363,1
364,0
365,8
365,5
366,6
367,7
368,6
369,6
370,3
371,6
372,2
373,2
374,10
375,4
376,2
377,8
378,119
379,7
380,10
381,4
382,4
383,5
384,4
385,3
386,9
387,2
388,14
389,2
390,13
391,2
392,5
393,4
394,23
395,5
396,5
397,3
398,38
399,3
400,15
401,2
402,33
403,1
404,7
405,6
406,11
407,7
408,22
409,20
410,3
411,10
412,11
413,18
414,7
415,8
416,5
417,1
418,11
419,2
420,4
421,5
422,4
423,1
424,30
425,17
426,4
427,6
428,4
429,7
430,2
431,3
432,2
433,12
434,4
435,20
436,7
437,11
438,5
439,6
440,4
441,0
442,4
442,3
443,15
444,8
445,7
446,22
447,9
448,10
449,6
450,21
451,3
452,6
453,2
454,19
455,21
456,4
457,3
458,5
459,22
460,6
461,15
462,6
463,4
464,7
465,1
466,9
467,2
468,2
469,9
470,5
471,4
472,1
473,14
474,19
475,1
476,14
477,6
478,6
479,7
480,10
481,17
482,1
483,3
484,33
484,4
485,7
486,3
487,11
488,9
489,10
490,4
491,89
492,6
493,2
494,5
495,3
496,11
497,2
498,3
499,12
500,6
501,3
502,21
503,12
504,2
505,4
506,0
507,9
508,6
509,5
510,18
511,5
512,16
513,37
514,2
515,20
516,8
517,3
518,15
519,1
520,6
521,6
522,7
523,10
524,13
525,6
526,12
527,3
528,4
529,5
530,12
531,1
532,6
533,4
534,48
535,8
536,3
537,7
538,6
539,3
540,0
541,2
542,5
543,8
544,2
545,3
546,3
547,4
548,3
549,8
550,2
551,4
552,2
553,4
554,1
555,4
556,5
557,6
558,7
559,4
560,6
561,4
562,4
563,9
564,0
565,11
566,4
567,35
568,5
569,5
570,5
571,5
572,3
573,0
574,1
575,9
576,6
577,17
578,2
579,4
580,1
581,5
582,49
583,37
584,5
586,4
587,21
588,1
589,2
590,6
591,4
592,6
593,3
594,20
595,2
596,5
597,1
598,6
599,6
600,1
601,18
602,12
603,4
604,7
605,23
606,8
607,10
608,17
609,7
610,2
611,1
612,0
613,2
614,7
615,3
616,1
617,8
618,5
619,2
620,18
621,2
622,1
623,6
624,15
625,7
626,1
627,3
628,25
629,8
630,3
631,7
632,6
633,2
634,5
635,3
636,12
637,20
638,4
639,16
640,2
641,11
642,7
643,7
644,1
645,2
646,5
647,8
648,6
649,20
650,3
651,4
652,2
653,1
654,4
655,15
656,3
657,15
658,16
659,13
660,16
661,8
